feature,n_A(G1/G2),n_B(G3),mean_A,mean_B,cohens_d,mwu_p
SPARK__zdqpczi83kiv_EMT_SCORE_STD,144,231,2.6354e-15,2.2671e-15,-0.7103,2.294e-09
SPARK__7zhu7bue40a7_LATTICE_FORMATION_INDEX,144,231,0.73229,0.80944,+0.7047,3.671e-10
SPARK__jtzhp327hy9v_ZONE4_T_STD_CIRC,144,231,0.062972,0.057912,-0.6997,8.666e-10
SPARK__jtzhp327hy9v_ZONE3_T_STD_CIRC,144,231,0.064289,0.059447,-0.6931,2.932e-09
SPARK__jtzhp327hy9v_ZONE5_T_STD_CIRC,144,230,0.058916,0.053752,-0.6916,3.787e-09
SPARK__dkzv8k4o7j0u_TUMOR_LYMPHO_MIN_DIST_STD,144,231,51.513,39.638,-0.6825,6.084e-11
SPARK__jtzhp327hy9v_ZONE1_T_STD_CIRC,144,231,0.064367,0.060058,-0.6676,2.033e-08
SPARK__jtzhp327hy9v_ZONE2_T_STD_CIRC,144,231,0.064096,0.059663,-0.6570,2.834e-08
SPARK__7zhu7bue40a7_REGULARITY_SCORE,144,231,1.2026,1.1065,-0.6489,1.606e-09
RegionMean::NuclearComposition.NormalizedPixelCount.StromalCellNOS.TUMOR,144,231,0.063594,0.089359,+0.6423,2.713e-09
